Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,connect
11/27/2007,MUNDRAPORT,EQ,440,770,1050,770,959,962.9,984.72,27294366,"$2,687,719,053,785,000.00 ",,9859619,0.3612,1
11/28/2007,MUNDRAPORT,EQ,962.9,984,990,874,885,893.9,941.38,4581338,"$431,276,530,164,999.00 ",,1453278,0.3172,
11/29/2007,MUNDRAPORT,EQ,893.9,909,914.75,841,887,884.2,888.09,5124121,"$455,065,846,264,999.00 ",,1069678,0.2088,
11/30/2007,MUNDRAPORT,EQ,884.2,890,958,890,929,921.55,929.17,4609762,"$428,325,662,830,000.00 ",,1260913,0.2735,
12/3/2007,MUNDRAPORT,EQ,921.55,939.75,995,922,980,969.3,965.65,2977470,"$287,519,974,300,000.00 ",,816123,0.2741,
12/4/2007,MUNDRAPORT,EQ,969.3,985,1056,976,1049,1041.45,1015.39,4849250,"$492,386,736,075,000.00 ",,1537667,0.3171,
12/5/2007,MUNDRAPORT,EQ,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,"$308,400,973,015,000.00 ",,904260,0.3175,
12/6/2007,MUNDRAPORT,EQ,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,"$190,177,114,020,000.00 ",,825691,0.472,
12/7/2007,MUNDRAPORT,EQ,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,"$248,746,530,710,000.00 ",,697763,0.3104,
12/10/2007,MUNDRAPORT,EQ,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,"$109,372,679,359,999.00 ",,417514,0.4124,
12/11/2007,MUNDRAPORT,EQ,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,"$86,541,556,460,000.00 ",,415191,0.5123,
12/12/2007,MUNDRAPORT,EQ,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,"$77,751,369,165,000.00 ",,363848,0.4885,
12/13/2007,MUNDRAPORT,EQ,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,"$340,233,907,520,000.00 ",,1040076,0.339,
12/14/2007,MUNDRAPORT,EQ,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,"$119,874,627,765,000.00 ",,525239,0.4905,
12/17/2007,MUNDRAPORT,EQ,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,"$154,884,767,715,000.00 ",,670298,0.4771,
12/18/2007,MUNDRAPORT,EQ,1044.25,1045,1109.9,1031.55,1085,1074.95,1077.84,1226984,"$132,249,513,309,999.00 ",,449420,0.3663,
12/19/2007,MUNDRAPORT,EQ,1074.95,1091,1116,1046.3,1078,1066.9,1082.93,845666,"$91,579,757,645,000.00 ",,344171,0.407,
12/20/2007,MUNDRAPORT,EQ,1066.9,1083.5,1083.5,1051,1067,1060.2,1065.52,623288,"$66,412,706,110,000.00 ",,276356,0.4434,
12/24/2007,MUNDRAPORT,EQ,1060.2,1095,1192,1085.25,1160,1156.8,1160.77,2060892,"$239,221,361,310,000.00 ",,807879,0.392,
12/26/2007,MUNDRAPORT,EQ,1156.8,1175,1214,1148,1212,1199.9,1183.3,1467031,"$173,593,856,540,000.00 ",,469389,0.32,
12/27/2007,MUNDRAPORT,EQ,1199.9,1215,1240,1204,1209,1211.65,1222.58,977495,"$119,506,465,945,000.00 ",,355431,0.3636,
12/28/2007,MUNDRAPORT,EQ,1211.65,1189.4,1274,1175,1270,1249.1,1221.31,1164138,"$142,177,280,540,000.00 ",,503564,0.4326,
12/31/2007,MUNDRAPORT,EQ,1249.1,1263.35,1295,1261,1268,1268.8,1277.64,737249,"$94,194,213,815,000.00 ",,316377,0.4291,
1/1/2008,MUNDRAPORT,EQ,1268.8,1279,1319,1263.7,1308,1296.85,1285.72,491348,"$63,173,462,100,000.00 ",,172911,0.3519,
1/2/2008,MUNDRAPORT,EQ,1296.85,1310.25,1324,1270,1300.15,1307.45,1302.15,703815,"$91,647,340,425,000.00 ",,221397,0.3146,
1/3/2008,MUNDRAPORT,EQ,1307.45,1305,1314.7,1261.15,1267.15,1275.8,1289.24,505058,"$65,114,250,075,000.00 ",,217437,0.4305,
1/4/2008,MUNDRAPORT,EQ,1275.8,1278.8,1294.8,1233,1239.9,1240.35,1256.03,550795,"$69,181,674,340,000.00 ",,230237,0.418,
1/7/2008,MUNDRAPORT,EQ,1240.35,1240,1278.9,1215,1233,1227.25,1244.76,630963,"$78,539,769,975,000.00 ",,239404,0.3794,
1/8/2008,MUNDRAPORT,EQ,1227.25,1240,1255,1185,1202,1204.8,1217.08,530499,"$64,565,951,270,000.00 ",,228866,0.4314,
1/9/2008,MUNDRAPORT,EQ,1204.8,1200,1210,1151,1181,1180.25,1176.37,627507,"$73,818,313,330,000.00 ",,259280,0.4132,
1/10/2008,MUNDRAPORT,EQ,1180.25,1185,1199.8,1110,1118,1121.55,1156.44,438806,"$50,745,246,590,000.00 ",,200150,0.4561,
1/11/2008,MUNDRAPORT,EQ,1121.55,1128,1130,1063,1096,1085.85,1087.78,616938,"$67,109,272,025,000.00 ",,312121,0.5059,
1/14/2008,MUNDRAPORT,EQ,1085.85,1082.4,1082.4,1031.1,1035,1035.15,1042.4,835916,"$87,135,710,755,000.00 ",,570824,0.6829,
1/15/2008,MUNDRAPORT,EQ,1035.15,1045.6,1078.7,1036.05,1057,1049.55,1050.69,830493,"$87,259,337,110,000.00 ",,504259,0.6072,
1/16/2008,MUNDRAPORT,EQ,1049.55,1046,1064,1000,1038.3,1030.4,1032.86,816188,"$84,300,609,685,000.00 ",,478517,0.5863,
1/17/2008,MUNDRAPORT,EQ,1030.4,1050,1053.5,1011,1014.95,1020.9,1033.73,336003,"$34,733,490,900,000.00 ",,145194,0.4321,
1/18/2008,MUNDRAPORT,EQ,1020.9,1010,1072,974.9,995,994.6,1022.57,676854,"$69,213,280,915,000.00 ",,278615,0.4116,
1/21/2008,MUNDRAPORT,EQ,994.6,995,1005,795.7,853,825.05,880.77,788623,"$69,459,899,854,999.90 ",,474223,0.6013,
1/22/2008,MUNDRAPORT,EQ,825.05,700,810,660.05,739,735.55,703.2,546161,"$38,406,113,705,000.00 ",,376194,0.6888,
1/23/2008,MUNDRAPORT,EQ,735.55,760,881.9,760,862.2,857,818.67,535462,"$43,836,526,980,000.00 ",,283881,0.5302,
1/24/2008,MUNDRAPORT,EQ,857,875,935,812,814.7,814.15,854.83,511017,"$43,683,319,425,000.00 ",,258346,0.5056,
1/25/2008,MUNDRAPORT,EQ,814.15,820,883,820,866,865.7,858.33,404045,"$34,680,333,860,000.00 ",,178177,0.441,
1/28/2008,MUNDRAPORT,EQ,865.7,835,835,783.2,822,820.8,804.38,467052,"$37,568,552,380,000.00 ",,241365,0.5168,
1/29/2008,MUNDRAPORT,EQ,820.8,840,860,820.05,840,840.75,841.27,220070,"$18,513,823,345,000.00 ",,74141,0.3369,
1/30/2008,MUNDRAPORT,EQ,840.75,849.8,864,822.25,834,830.45,833.82,286190,"$23,863,110,660,000.00 ",,165926,0.5798,
1/31/2008,MUNDRAPORT,EQ,830.45,831,849.9,812.55,836.6,837.65,833.58,194300,"$16,196,555,894,999.90 ",,103890,0.5347,
2/1/2008,MUNDRAPORT,EQ,837.65,831.65,852.3,820,826,825.35,828.09,204391,"$16,925,451,805,000.00 ",,115715,0.5661,
2/4/2008,MUNDRAPORT,EQ,825.35,847.9,872.4,840,859,856.1,858.77,280230,"$24,065,208,695,000.00 ",,128195,0.4575,
2/5/2008,MUNDRAPORT,EQ,856.1,856,857,830,834.65,834.3,842.06,162093,"$13,649,192,019,999.90 ",,96153,0.5932,
2/6/2008,MUNDRAPORT,EQ,834.3,803,824.9,780,809,807.5,810.5,193260,"$15,663,794,125,000.00 ",,110565,0.5721,
2/7/2008,MUNDRAPORT,EQ,807.5,825,830,792,795.9,796.25,809.53,212932,"$17,237,575,975,000.00 ",,106275,0.4991,
2/8/2008,MUNDRAPORT,EQ,796.25,810,830,765.15,786,784.05,781.48,285025,"$22,274,252,000,000.00 ",,154857,0.5433,
2/11/2008,MUNDRAPORT,EQ,784.05,785,785,695,699,711.2,736.23,223955,"$16,488,264,325,000.00 ",,118002,0.5269,
2/12/2008,MUNDRAPORT,EQ,711.2,725,734.95,655.6,689,681.3,681.38,303409,"$20,673,577,510,000.00 ",,187180,0.6169,
2/13/2008,MUNDRAPORT,EQ,681.3,815.9,815.9,664,678,670.95,681.68,214900,"$14,649,214,640,000.00 ",,108761,0.5061,
2/14/2008,MUNDRAPORT,EQ,670.95,680,714,680,710,709.8,704.71,269032,"$18,959,036,175,000.00 ",,148611,0.5524,
2/15/2008,MUNDRAPORT,EQ,709.8,700,763.7,681.25,729,728.75,734.23,353049,"$25,921,872,820,000.00 ",,110621,0.3133,
